ship,metier,TRIPNR,year,quar,week,hpsegment2,effort,hpeffort
OD1,TBB_DEF_70-99_0_0,2,1999,3,35,Groot,4.2,8413
GO28,TBB_DEF_70-99_0_0,3,1999,4,39,Groot,4.2,12297
UK47,TBB_DEF_70-99_0_0,4,1999,4,47,Groot,4,8002
GO6,TBB_DEF_70-99_0_0,6,2000,1,10,Groot,4.3,8586
UK284,TBB_DEF_70-99_0_0,7,2000,1,11,Groot,4.7,9336
TX37,TBB_DEF_70-99_0_0,8,2000,1,13,Groot,3.9,7836
HD225,TBB_DEF_70-99_0_0,9,2000,2,15,Groot,4.5,12036
UK63,TBB_DEF_70-99_0_0,10,2000,2,16,Groot,4.1,7353
OD50,TBB_DEF_70-99_0_0,11,2000,2,18,Groot,4.1,7422
TX41,TBB_DEF_70-99_0_0,12,2000,2,19,Euro,3.9,1165
GO7,TBB_DEF_70-99_0_0,13,2000,2,21,Groot,4.1,4673
GO58,TBB_DEF_70-99_0_0,14,2000,2,23,Euro,3.9,1177
HD7,TBB_DEF_70-99_0_0,15,2000,2,25,Groot,4.4,8830
KW42,TBB_DEF_70-99_0_0,16,2000,3,27,Groot,4.5,9086
UK225,TBB_DEF_70-99_0_0,19,2000,3,32,Groot,4.1,8169
OD8,TBB_DEF_70-99_0_0,20,2000,3,34,Groot,4.1,7428
KW32,TBB_DEF_70-99_0_0,22,2000,4,51,Groot,6.1,21725.5
TX38,TBB_DEF_70-99_0_0,23,2001,1,8,Groot,4.4,8741
UK1,TBB_DEF_70-99_0_0,24,2001,1,9,Groot,4.2,10525
HD65,TBB_DEF_70-99_0_0,26,2001,2,14,Euro,2.15,638.5
UK184,TBB_DEF_70-99_0_0,27,2001,2,14,Groot,4.6,9227
UK383,TBB_DEF_70-99_0_0,28,2001,2,19,Groot,4.8,9669
OD1,TBB_DEF_70-99_0_0,31,2002,1,3,Groot,3.2,6331
OD8,TBB_DEF_70-99_0_0,32,2002,2,18,Groot,4.2,7578
HD22,TBB_DEF_70-99_0_0,30,2002,2,26,Groot,4.5,8996
SL27,TBB_DEF_70-99_0_0,35,2002,3,28,Groot,2.1,4209.5
GO20,TBB_DEF_70-99_0_0,36,2002,4,46,Groot,3.9,7752
GO22,TBB_DEF_70-99_0_0,37,2003,1,3,Groot,3,6085
TX38,TBB_DEF_70-99_0_0,38,2003,1,12,Groot,3.9,7825
UK47,TBB_DEF_70-99_0_0,39,2003,2,18,Groot,3,6002
HD7,TBB_DEF_70-99_0_0,40,2003,2,21,Groot,4,7997
GO44,TBB_DEF_70-99_0_0,45,2003,2,23,Groot,4.1,8169
GO41,TBB_DEF_70-99_0_0,44,2003,3,28,Groot,4,8185
