year,PGM_CODE,prog,ship,POWER,metier,TOR_CODE,week,quar,TRIPNR,duration_meas,duration_tot,SCIENTIFIC_NAME,ENGLISH_NAME,DUTCH_NAME,ICES_CODE,nodc,class_length,SSE_CATEGORY,GEAR_SUBTYPE,GEAR_COUNT,w_soort_meashauls,n_per_hour,n_total_trip,w_per_hour,w_total_trip,hpsegment2,gear
1999,DISBT,observer,GO28,2170,TBB_DEF_70-99,Boomkor12w,39,3,3,3365,4265,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,16,d,NA,2,2.3670889458,0.5527488856,39.291233284,0.042206638,3.0001885153,Groot,non-pulse
1999,DISBT,observer,GO28,2170,TBB_DEF_70-99,Boomkor12w,39,3,3,3365,4265,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,20,d,NA,2,2.2625744716,0.2674591382,19.011887073,0.0403430812,2.8677206898,Groot,non-pulse
1999,DISBT,observer,GO28,2170,TBB_DEF_70-99,Boomkor12w,39,3,3,3365,4265,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,22,d,NA,2,3.0296975787,0.2674591382,19.011887073,0.0540213536,3.8400178821,Groot,non-pulse
1999,DISBT,observer,GO28,2170,TBB_DEF_70-99,Boomkor12w,39,3,3,3365,4265,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,23,d,NA,2,5.0928490786,0.3922734027,27.88410104,0.0908086017,6.4549781041,Groot,non-pulse
1999,DISBT,observer,GO28,2170,TBB_DEF_70-99,Boomkor12w,39,3,3,3365,4265,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,24,d,NA,2,3.9572258618,0.2674591382,19.011887073,0.0705597479,5.0156220804,Groot,non-pulse
1999,DISBT,observer,GO28,2170,TBB_DEF_70-99,Boomkor12w,39,3,3,3365,4265,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,25,d,NA,2,7.7761262874,0.4635958395,32.953937593,0.138653069,9.8559223227,Groot,non-pulse
1999,DISBT,observer,GO28,2170,TBB_DEF_70-99,Boomkor12w,39,3,3,3365,4265,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,26,d,NA,2,21.258106237,1.1233283804,79.849925706,0.3790449849,26.943781011,Groot,non-pulse
1999,DISBT,observer,UK47,1471,TBB_DEF_70-99,Boomkor12w,47,4,4,3485,4610,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,17,d,NA,2,1.1019946025,0.2065997131,15.87374462,0.0189726474,1.457731741,Groot,non-pulse
1999,DISBT,observer,UK47,1471,TBB_DEF_70-99,Boomkor12w,47,4,4,3485,4610,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,21,d,NA,2,2.1016770272,0.2065997131,15.87374462,0.0361838226,2.7801237002,Groot,non-pulse
1999,DISBT,observer,UK47,1471,TBB_DEF_70-99,Boomkor12w,47,4,4,3485,4610,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,23,d,NA,2,5.5558353585,0.4131994261,31.74748924,0.0956528326,7.3493259692,Groot,non-pulse
2000,DISBT,observer,GO58,221,TBB_DEF_70-99,Boomkor04w,23,2,14,3690,4732,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,15,d,NA,2,0.1255235721,0.0325203252,2.5647696477,0.0020410337,0.1609695239,Euro,non-pulse
2000,DISBT,observer,GO58,221,TBB_DEF_70-99,Boomkor04w,23,2,14,3690,4732,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,18,d,NA,2,0.7652207201,0.1138211382,8.9766937669,0.0124426133,0.9813074384,Euro,non-pulse
2000,DISBT,observer,GO58,221,TBB_DEF_70-99,Boomkor04w,23,2,14,3690,4732,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,20,d,NA,2,0.3016765962,0.0325203252,2.5647696477,0.0049053105,0.3868654887,Euro,non-pulse
2000,DISBT,observer,GO58,221,TBB_DEF_70-99,Boomkor04w,23,2,14,3690,4732,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,22,d,NA,2,0.2019798386,0.0162601626,1.2823848238,0.003284225,0.2590158797,Euro,non-pulse
2000,DISBT,observer,GO58,221,TBB_DEF_70-99,Boomkor04w,23,2,14,3690,4732,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,23,d,NA,2,0.4629862799,0.0325203252,2.5647696477,0.0075282322,0.593726579,Euro,non-pulse
2000,DISBT,observer,GO58,221,TBB_DEF_70-99,Boomkor04w,23,2,14,3690,4732,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,25,d,NA,2,2.9908178029,0.162601626,12.823848238,0.0486311838,3.8353793613,Euro,non-pulse
2000,DISBT,observer,GO6,1471,TBB_DEF_70-99,Boomkor12w,10,1,6,4470,5365,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,23,d,NA,2,1.3889588396,0.0805369128,7.2013422819,0.0186437428,1.6670613366,Groot,non-pulse
2000,DISBT,observer,HD225,1985,TBB_DEF_70-99,Boomkor12w,15,2,9,2640,4450,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,26,d,NA,2,10.122907732,0.6818181818,50.568181818,0.2300660848,17.063234624,Groot,non-pulse
2000,DISBT,observer,HD7,1470,TBB_DEF_70-99,Boomkor12w,25,2,15,3065,4945,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,22,d,NA,2,3.4336572558,0.3327895595,27.427406199,0.0672167815,5.5397830767,Groot,non-pulse
2000,DISBT,observer,HD7,1470,TBB_DEF_70-99,Boomkor12w,25,2,15,3065,4945,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,23,d,NA,2,6.9447941981,0.5872756933,48.401305057,0.1359502943,11.204570085,Groot,non-pulse
2000,DISBT,observer,HD7,1470,TBB_DEF_70-99,Boomkor12w,25,2,15,3065,4945,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,25,d,NA,2,5.0843902649,0.3327895595,27.427406199,0.0995312939,8.2030374746,Groot,non-pulse
2000,DISBT,observer,KW42,1471,TBB_DEF_70-99,Boomkor12w,27,3,16,3175,4370,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,23,d,NA,2,7.407780478,0.6047244094,44.044094488,0.1399895523,10.195905729,Groot,non-pulse
2000,DISBT,observer,TX37,1471,TBB_DEF_70-99,Boomkor12w,13,1,8,2805,4545,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,23,d,NA,2,3.0094108192,0.2780748663,21.064171123,0.0643724239,4.8762111134,Groot,non-pulse
2000,DISBT,observer,TX37,1471,TBB_DEF_70-99,Boomkor12w,13,1,8,2805,4545,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,24,d,NA,2,3.1657806894,0.256684492,19.443850267,0.067717234,5.1295804754,Groot,non-pulse
2000,DISBT,observer,TX37,1471,TBB_DEF_70-99,Boomkor12w,13,1,8,2805,4545,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,25,d,NA,2,4.187144924,0.2994652406,22.684491979,0.0895645973,6.7845182458,Groot,non-pulse
2000,DISBT,observer,TX41,221,TBB_DEF_70-99,Boomkor04w,19,2,12,2760,4200,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,21,d,NA,2,5.954751577,0.7391304348,51.739130435,0.1294511212,9.0615784867,Euro,non-pulse
2000,DISBT,observer,TX41,221,TBB_DEF_70-99,Boomkor04w,19,2,12,2760,4200,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,24,d,NA,2,13.45456793,1.1086956522,77.608695652,0.2924906072,20.474342502,Euro,non-pulse
2001,DISBT,observer,HD65,221,TBB_DEF_70-99,Boomkor04w,14,2,26,2055,4940,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,17,d,NA,2,0.4591644177,0.1459854015,12.01946472,0.0134062604,1.1037821039,Euro,non-pulse
2001,DISBT,observer,HD65,221,TBB_DEF_70-99,Boomkor04w,14,2,26,2055,4940,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,20,d,NA,2,1.5083829811,0.2919708029,24.03892944,0.044040379,3.6259912051,Euro,non-pulse
2001,DISBT,observer,HD65,221,TBB_DEF_70-99,Boomkor04w,14,2,26,2055,4940,Scophthalmus maximus,Turbot,Tarbot,TUR,885703040200,21,d,NA,2,7.8812888519,1.3138686131,108.17518248,0.2301106234,18.945774661,Euro,non-pulse
