year,mean_w
1999,34.7827060079
2000,15.20244106002857
2001,68.05148296145
2003,2.9447781972000002
2004,17.5063908983
2005,7.0087635747
2006,15.99825436325
2007,0.2580853493
2008,32.4601723186
2009,12.234065899
2012,26.272507121175
2013,40.9822803585
2014,38.9308845666
2015,21.50443522094286
2016,266.6222868802125
