year,ship,week,quar,hpsegment2,gear,TRIPNR,w_total,w_hour
2010,GO28,11,1,Groot,non-pulse,213,40.0641554,0.559034727
2010,HD22,31,3,Groot,non-pulse,248,49.81752953,0.583799174
2010,OD50,9,1,Euro,non-pulse,266,10.39905748,0.139584664
2010,OD50,14,2,Euro,non-pulse,267,30.550833534,0.626683766
2010,OD50,17,2,Euro,non-pulse,268,6.349647666,0.089768817
2010,OD50,30,3,Euro,non-pulse,270,19.604360314,0.23246276999999999
2010,OD50,40,4,Euro,non-pulse,271,72.277917577,0.77857721
2010,OD50,48,4,Euro,non-pulse,272,22.243045793,0.623636797
2010,TX29,49,4,Groot,non-pulse,303,81.66882351,1.064088906
2010,WR244,43,4,Euro,non-pulse,349,10.34687628,0.385597874
2011,GO29,18,2,Euro,non-pulse,448,153.5784942,11.66418943
2011,GO4,16,2,Groot,non-pulse,444,135.8126885,1.735625413
2011,GO4,39,3,Groot,non-pulse,358,105.1278076,1.365296203
2011,GO58,13,1,Euro,non-pulse,376,100.3382516,1.262116372
2011,GO58,33,3,Euro,non-pulse,377,8.362917528,0.109366838
2011,OD50,15,2,Euro,non-pulse,461,27.54332445,0.314481345
2011,OD50,19,2,Euro,non-pulse,462,7.31379626,0.085044143
2011,OD50,38,3,Euro,non-pulse,397,59.855340143999996,1.430804943
2011,OD50,44,4,Euro,non-pulse,473,8.102955877,0.095049336
2011,OD50,47,4,Euro,non-pulse,474,19.6830379,0.244966247
2011,TX29,36,3,Groot,non-pulse,403,64.66213409,0.814213651
2011,WR244,41,4,Euro,non-pulse,496,6.34930144,0.139801133
2011,WR244,46,4,Euro,non-pulse,499,10.77226021,0.19236179
2012,GO48,12,1,Groot,pulse,608,50.14497554,0.683795121
2012,GO48,18,2,Groot,pulse,633,105.9486694,1.403293635
2012,GO58,17,2,Euro,non-pulse,754,8.439512147,0.201420338
2012,HD22,5,1,Groot,pulse,703,56.925271429999995,0.41591771599999994
2012,HD22,23,2,Groot,pulse,640,13.62190038,0.163954669
2012,HD22,32,3,Groot,pulse,669,33.28039824,0.47150505200000004
2012,HD22,37,3,Groot,pulse,670,338.98979467,5.26927142
2012,OD50,9,1,Euro,non-pulse,615,19.400356617,0.223635235
2012,OD50,36,3,Euro,non-pulse,673,27.89081315,0.334355403
2012,OD50,39,3,Euro,non-pulse,709,22.43880459,0.328773694
2012,TH10,19,2,Euro,non-pulse,650,371.820942,5.698405241
2012,TH10,31,3,Euro,non-pulse,676,417.01349211,5.295409423
2012,TH10,41,4,Euro,non-pulse,730,206.1928564,2.509446528
2012,TH7,19,2,Euro,pulse,652,23.349429612999998,0.220277638
2012,TX29,6,1,Groot,non-pulse,619,113.3404397,1.501197877
2012,TX29,23,2,Groot,non-pulse,654,53.6397637,0.687689278
2012,TX29,28,3,Groot,non-pulse,678,54.06863155,0.713777314
2012,WR244,27,3,Euro,non-pulse,686,147.0715725,2.721867473
2012,WR244,37,3,Euro,non-pulse,687,147.4032411,2.205534779
2013,GO31,9,1,Groot,non-pulse,772,171.6404908,2.07629626
2013,GO31,12,1,Groot,non-pulse,773,120.3432076,1.362375935
2013,GO31,24,2,Groot,non-pulse,775,102.1789604,1.2273749
2013,GO31,35,3,Groot,non-pulse,824,402.9190979,4.767333045
2013,HD22,15,2,Groot,pulse,782,24.74815995,0.370389024
2013,HD22,24,2,Groot,pulse,784,8.470672192,0.109652715
2013,HD22,28,3,Groot,pulse,829,48.67400126,0.591182202
2013,HD22,32,3,Groot,pulse,830,11.92248733,0.163135517
2013,HD22,37,3,Groot,pulse,831,51.34641614,0.7523284419999999
2013,OD50,41,4,Euro,non-pulse,878,17.40766979,0.388998208
2013,OD6,46,4,Groot,non-pulse,876,30.32896068,0.375203637
2013,TH10,30,3,Euro,pulse,839,66.41037365,0.918115765
2013,TH10,45,4,Euro,pulse,882,246.40868464,3.162464402
2013,WR244,33,3,Euro,non-pulse,863,17.79744934,0.268979083
2013,WR244,41,4,Euro,non-pulse,893,26.12903762,0.553972529
2014,GO31,9,1,Groot,non-pulse,999,46.32439473,0.596451434
2014,GO31,25,2,Groot,non-pulse,1013,163.1477031,2.102870502
2014,GO31,48,4,Groot,pulse,1033,191.77316527,2.419850666
2014,HD22,49,4,Groot,pulse,1034,14.70662889,0.11467157
2014,OD50,27,3,Euro,non-pulse,1014,16.52923202,0.217728633
2014,OD50,48,4,Euro,pulse,1031,29.671445767,0.39827444
2014,OD6,44,4,Groot,pulse,1026,34.796418431,0.419233957
2014,OD6,48,4,Groot,pulse,1030,3.482967904,0.039654284
2014,TH10,6,1,Euro,pulse,994,57.79611825,1.070298486
2014,TH10,11,1,Euro,pulse,1002,4.464843872,0.064242358
2014,TH10,17,2,Euro,pulse,937,184.48187576,2.995646155
2014,TH10,19,2,Euro,pulse,1011,321.304257283,4.868246323
2014,TH10,46,4,Euro,pulse,1028,17.34561265,0.276424106
2014,TH7,11,1,Euro,pulse,1003,4.623927077,0.071228658
2014,TH7,43,4,Euro,pulse,1035,136.02465962,5.667694151
2014,TX29,15,2,Groot,non-pulse,932,111.3241561,1.391551951
2014,UK284,38,3,Groot,non-pulse,987,405.1322099,5.194002691
2014,WR244,39,3,Euro,non-pulse,989,23.65949441,0.344890589
2015,GO31,15,2,Groot,pulse,1094,32.06123623,0.462532862
2015,GO48,6,1,Groot,pulse,1061,20.52452471,0.301093272
2015,HD22,8,1,Groot,pulse,1073,16.3880017,0.181049549
2015,OD50,6,1,Euro,pulse,1062,21.487817315999997,0.343347281
2015,OD50,24,2,Euro,pulse,1123,7.3601415,0.098463431
2015,OD50,27,2,Euro,pulse,1134,9.663078472,0.235684841
2015,OD50,27,3,Euro,pulse,1134,3.454121582,0.15182952
2015,OD50,36,3,Euro,pulse,1170,45.060511672,0.879229497
2015,OD50,45,4,Euro,pulse,1204,68.225021076,0.826969953
2015,OD50,48,4,Euro,pulse,1217,82.78790763,0.919014702
2015,OD6,6,1,Groot,pulse,1063,11.08430056,0.139571466
2015,OD6,43,4,Groot,pulse,1192,16.549427857,0.20686784800000002
2015,TH10,8,1,Euro,pulse,1069,37.927318119999995,0.700196642
2015,TH10,15,2,Euro,pulse,1093,77.682441358,1.135708207
2015,TH10,45,4,Euro,pulse,1201,303.6456127,4.312127044
