ship,metier,tripnr,year,quar,week,hpsegment2,effort,hpeffort
FD281,TBB_DEF_70-99_0_0,361,2011,1,11,Groot,5,9996
GO14,TBB_DEF_70-99_0_0,606,2012,1,9,Groot,4.1,8129
GO14,TBB_DEF_70-99_0_0,627,2012,2,14,Groot,4.2,8415
GO14,TBB_DEF_70-99_0_0,629,2012,2,24,Groot,4.1,8131
GO14,TBB_DEF_70-99_0_0,659,2012,3,29,Groot,4.2,8479
GO14,TBB_DEF_70-99_0_0,660,2012,3,32,Groot,4.2,8317
GO14,TBB_DEF_70-99_0_0,661,2012,3,36,Groot,4.1,8121
GO14,TBB_DEF_70-99_0_0,713,2012,1,6,Groot,4.2,8366
GO14,TBB_DEF_70-99_0_0,714,2012,4,40,Groot,4.1,8150
GO14,TBB_DEF_70-99_0_0,715,2012,4,44,Groot,4,7993
GO14,TBB_DEF_70-99_0_0,716,2012,4,48,Groot,4.2,8325
GO28,TBB_DEF_70-99_0_0,357,2011,3,37,Groot,4,11805
GO28,TBB_DEF_70-99_0_0,367,2011,1,7,Groot,4,11805
GO28,TBB_DEF_70-99_0_0,368,2011,3,28,Groot,3.5,10329
GO28,TBB_DEF_70-99_0_0,369,2011,3,36,Groot,3.9,11559
GO28,TBB_DEF_70-99_0_0,428,2011,4,42,Groot,4.2,12297
GO28,TBB_DEF_70-99_0_0,429,2011,4,46,Groot,4,11928
GO28,TBB_DEF_70-99_0_0,447,2011,2,19,Groot,3.8,11313
GO29,TBB_DEF_70-99_0_0,448,2011,2,18,Euro,0.366666667,112.6666667
GO31,TBB_DEF_70-99_0_0,607,2012,1,9,Groot,4,8021
GO31,TBB_DEF_70-99_0_0,630,2012,2,16,Groot,4.2,8333
GO31,TBB_DEF_70-99_0_0,631,2012,2,19,Groot,4,8091
GO31,TBB_DEF_70-99_0_0,662,2012,3,35,Groot,4,8043
GO31,TBB_DEF_70-99_0_0,688,2012,1,12,Groot,4.1,8139
GO31,TBB_DEF_70-99_0_0,689,2012,3,29,Groot,4,7986
GO31,TBB_DEF_70-99_0_0,717,2012,4,40,Groot,4,8041
GO31,TBB_DEF_70-99_0_0,772,2013,1,9,Groot,4,8064
GO31,TBB_DEF_70-99_0_0,773,2013,1,12,Groot,4.1,8118
GO31,TBB_DEF_70-99_0_0,774,2013,2,19,Groot,4,8077
GO31,TBB_DEF_70-99_0_0,775,2013,2,24,Groot,4.2,8371
GO31,TBB_DEF_70-99_0_0,823,2013,3,29,Groot,4.1,8278
GO31,TBB_DEF_70-99_0_0,824,2013,3,35,Groot,4,8056
GO31,TBB_DEF_70-99_0_0,825,2013,4,40,Groot,4,8048
GO31,TBB_DEF_70-99_0_0,865,2013,4,46,Groot,4,7973
GO31,TBB_DEF_70-99_0_0,866,2013,4,49,Groot,3.4,6727
GO31,TBB_DEF_70-99_0_0,999,2014,1,9,Groot,4,7914
GO31,TBB_DEF_70-99_0_0,1005,2014,1,11,Groot,4,7986
GO31,TBB_DEF_70-99_0_0,1010,2014,2,19,Groot,3.5,7040
GO31,TBB_DEF_70-99_0_0,1013,2014,2,25,Groot,3.8,7638
GO31,TBB_DEF_70-99_0_0,1015,2014,3,29,Groot,3.8,7680
GO31,TBB_DEF_70-99_0_0,1017,2014,3,32,Groot,4.1,8212
GO31,TBB_DEF_70-99_0_0,1019,2014,3,36,Groot,4.1,8193
GO31,TBB_DEF_70-99_0_0,1021,2014,3,39,Groot,4.1,8200
GO31,TBB_DEF_70-99_0_0,1027,2014,4,46,Groot,3.8,7559
GO31,TBB_DEF_70-99_0_0,1033,2014,4,48,Groot,4.1,8237
GO4,TBB_DEF_70-99_0_0,358,2011,3,39,Groot,4,7914
GO4,TBB_DEF_70-99_0_0,362,2011,1,6,Groot,3.9,7798
GO4,TBB_DEF_70-99_0_0,363,2011,1,9,Groot,4,8064
GO4,TBB_DEF_70-99_0_0,364,2011,1,12,Groot,4.1,8113
GO4,TBB_DEF_70-99_0_0,365,2011,3,36,Groot,4,7997
GO4,TBB_DEF_70-99_0_0,427,2011,4,42,Groot,4,7980
GO4,TBB_DEF_70-99_0_0,444,2011,2,16,Groot,4,7980
GO4,TBB_DEF_70-99_0_0,445,2011,2,20,Groot,4.1,8080
GO4,TBB_DEF_70-99_0_0,446,2011,2,24,Groot,3.3,6501
GO48,TBB_DEF_70-99_0_0,371,2011,1,6,Groot,4.1,8230
GO48,TBB_DEF_70-99_0_0,372,2011,1,10,Groot,4.1,8230
GO48,TBB_DEF_70-99_0_0,373,2011,3,27,Groot,4.1,8230
GO48,TBB_DEF_70-99_0_0,374,2011,3,32,Groot,1.85,3699
GO48,TBB_DEF_70-99_0_0,375,2011,3,36,Groot,4.3,8479
GO48,TBB_DEF_70-99_0_0,430,2011,4,40,Groot,4.3,8479
GO48,TBB_DEF_70-99_0_0,431,2011,4,44,Groot,4.2,8313
GO48,TBB_DEF_70-99_0_0,432,2011,4,48,Groot,4.2,8396
GO48,TBB_DEF_70-99_0_0,449,2011,2,14,Groot,4.1,8230
GO48,TBB_DEF_70-99_0_0,450,2011,2,19,Groot,4.2,8313
GO48,TBB_DEF_70-99_0_0,451,2011,2,24,Groot,4.3,8562
GO48,TBB_DEF_70-99_0_0,608,2012,1,12,Groot,4.1,8207
GO48,TBB_DEF_70-99_0_0,632,2012,2,16,Groot,4,7955
GO48,TBB_DEF_70-99_0_0,633,2012,2,18,Groot,4.1,8198
GO48,TBB_DEF_70-99_0_0,634,2012,2,24,Groot,4,7990
GO48,TBB_DEF_70-99_0_0,663,2012,3,32,Groot,4.2,8356
GO48,TBB_DEF_70-99_0_0,664,2012,3,36,Groot,3.5,6918
GO48,TBB_DEF_70-99_0_0,712,2012,4,48,Groot,4.1,8112
GO48,TBB_DEF_70-99_0_0,718,2012,3,27,Groot,4.1,8181
GO48,TBB_DEF_70-99_0_0,719,2012,4,40,Groot,4.1,8080
GO48,TBB_DEF_70-99_0_0,720,2012,4,44,Groot,4.1,8085
GO48,TBB_DEF_70-99_0_0,776,2013,1,9,Groot,4.1,8154
GO48,TBB_DEF_70-99_0_0,777,2013,2,18,Groot,3,6061
GO48,TBB_DEF_70-99_0_0,778,2013,2,24,Groot,3.8,7646
GO48,TBB_DEF_70-99_0_0,826,2013,3,27,Groot,4.1,8251
GO48,TBB_DEF_70-99_0_0,827,2013,3,36,Groot,4,8041
GO48,TBB_DEF_70-99_0_0,828,2013,4,40,Groot,4.1,8212
GO48,TBB_DEF_70-99_0_0,867,2013,4,45,Groot,4.1,8183
GO48,TBB_DEF_70-99_0_0,868,2013,4,49,Groot,3.3,6542
GO48,TBB_DEF_70-99_0_0,996,2014,1,6,Groot,3.8,7654
GO48,TBB_DEF_70-99_0_0,1000,2014,1,9,Groot,3.7,7348
GO48,TBB_DEF_70-99_0_0,1007,2014,1,13,Groot,2.7,5305
GO48,TBB_DEF_70-99_0_0,1009,2014,2,18,Groot,3.6,7085
GO48,TBB_DEF_70-99_0_0,1012,2014,2,23,Groot,3.6,7232
GO48,TBB_DEF_70-99_0_0,1018,2014,3,36,Groot,3.6,7197
GO48,TBB_DEF_70-99_0_0,1022,2014,4,40,Groot,3.6,7212
GO48,TBB_DEF_70-99_0_0,1024,2014,4,43,Groot,3.5,7078
GO48,TBB_DEF_70-99_0_0,1025,2014,4,44,Groot,3.7,7366
GO48,TBB_DEF_70-99_0_0,1032,2014,4,48,Groot,3.6,7264
