ship,tripnr,date,year,qtr,week,gear,ICES_AREA,meshsegment,effort,hpeffort
FD281,117,12-6-2009,2009,2,24,Boomkor12w,IVb,120-129 mm,4.5,9080
FD281,118,11-7-2009,2009,3,28,Boomkor12w,IVb,100-109 mm,4.8,9663
FD281,119,8-8-2009,2009,3,32,Boomkor12w,IVb,100-109 mm,4.8,9663
FD281,120,15-8-2009,2009,3,33,Boomkor12w,IVb,100-109 mm,3.6,7247
FD281,121,4-9-2009,2009,3,36,Boomkor12w,IVb,80-89 mm,3.8,7664
FD281,122,16-10-2009,2009,4,42,Boomkor12w,IVb,80-89 mm,4.3,8497
FD281,123,3-12-2009,2009,4,49,Boomkor12w,IVb,80-89 mm,6.3,12495
FD281,202,29-1-2010,2010,1,4,Boomkor12w,IVb,80-89 mm,4.4,8830
FD281,203,26-2-2010,2010,1,8,Boomkor12w,IVb,80-89 mm,4.4,8813
FD281,204,27-3-2010,2010,1,12,Boomkor12w,IVb,80-89 mm,4.7,9396
FD281,205,24-4-2010,2010,2,16,Boomkor12w,IVb,120-129 mm,4.9,9779
FD281,206,21-5-2010,2010,2,20,Boomkor12w,IVb,100-109 mm,4.7,9368
FD281,207,25-6-2010,2010,2,25,Boomkor12w,IVb,100-109 mm,4.6,9207
FD281,208,13-8-2010,2010,3,32,Boomkor12w,IVb,80-89 mm,4.9,9763
FD281,210,30-10-2010,2010,4,43,Boomkor12w,IVb,80-89 mm,4.7,9366
FD281,211,1-12-2010,2010,4,48,Boomkor12w,IVb,80-89 mm,9.2,18309
FD281,361,25-3-2011,2011,1,11,Boomkor12w,IVb,100-109 mm,4.3,8580
GO14,713,10-2-2012,2012,1,6,Boomkor12w,IVc,80-89 mm,4.2,8366
GO14,606,2-3-2012,2012,1,9,Boomkor12w,IVc,80-89 mm,4.1,8129
GO14,627,6-4-2012,2012,2,14,Boomkor12w,IVc,80-89 mm,4.2,8415
GO14,628,4-5-2012,2012,2,18,Boomkor12w,IVc,80-89 mm,4.2,8331
GO14,629,15-6-2012,2012,2,24,Boomkor12w,IVc,80-89 mm,4.1,8131
GO14,659,20-7-2012,2012,3,29,Boomkor12w,IVc,80-89 mm,4.2,8479
GO14,660,10-8-2012,2012,3,32,Boomkor12w,IVc,80-89 mm,4.2,8317
GO14,661,7-9-2012,2012,3,36,Boomkor12w,IVc,80-89 mm,4.1,8121
GO14,714,5-10-2012,2012,4,40,Boomkor12w,IVc,80-89 mm,4.1,8150
GO14,715,2-11-2012,2012,4,44,Boomkor12w,IVc,80-89 mm,4,7993
GO14,716,30-11-2012,2012,4,48,Boomkor12w,IVc,80-89 mm,4.2,8325
GO28,213,19-3-2010,2010,1,11,Boomkor12w,IVc,80-89 mm,4.1,12051
GO28,214,14-5-2010,2010,2,19,Boomkor12w,IVc,80-89 mm,4.1,12051
GO28,215,16-7-2010,2010,3,28,Boomkor12w,IVc,80-89 mm,3.9,11559
GO28,216,24-9-2010,2010,3,38,Boomkor12w,IVc,80-89 mm,4,11805
GO28,217,22-10-2010,2010,4,42,Boomkor12w,IVc,80-89 mm,4.2,12420
GO28,218,18-11-2010,2010,4,46,Boomkor12w,IVc,80-89 mm,3.7,10944
GO28,219,10-12-2010,2010,4,49,Boomkor12w,IVc,80-89 mm,4,11805
GO28,367,18-2-2011,2011,1,7,Boomkor12w,IVc,80-89 mm,4,11805
GO28,447,12-5-2011,2011,2,19,Boomkor12w,IVc,80-89 mm,3.8,11313
GO28,368,14-7-2011,2011,3,28,Boomkor12w,IVc,80-89 mm,3.5,10329
GO28,369,9-9-2011,2011,3,36,Boomkor12w,IVc,80-89 mm,3.9,11559
GO28,357.2,16-9-2011,2011,3,37,Boomkor12w,IVc,80-89 mm,4,11805
