ship,metier,tripnr,year,quar,week,hpsegment2,effort,hpeffort
GO48,TBB_DEF_70-99_0_0,776,2013,1,9,Groot,4.1,8154
GO48,TBB_DEF_70-99_0_0,777,2013,2,18,Groot,3,6061
GO48,TBB_DEF_70-99_0_0,778,2013,2,24,Groot,3.8,7646
GO48,TBB_DEF_70-99_0_0,826,2013,3,27,Groot,4.1,8251
GO48,TBB_DEF_70-99_0_0,827,2013,3,36,Groot,4,8041
GO48,TBB_DEF_70-99_0_0,828,2013,4,40,Groot,4.1,8212
GO48,TBB_DEF_70-99_0_0,867,2013,4,45,Groot,4.1,8183
GO48,TBB_DEF_70-99_0_0,868,2013,4,49,Groot,3.3,6542
GO48,TBB_DEF_70-99_0_0,996,2014,1,6,Groot,3.8,7654
GO48,TBB_DEF_70-99_0_0,1000,2014,1,9,Groot,3.7,7348
GO48,TBB_DEF_70-99_0_0,1007,2014,1,13,Groot,2.7,5305
GO48,TBB_DEF_70-99_0_0,1009,2014,2,18,Groot,3.6,7085
GO48,TBB_DEF_70-99_0_0,1012,2014,2,23,Groot,3.6,7232
GO48,TBB_DEF_70-99_0_0,1018,2014,3,36,Groot,3.6,7197
GO48,TBB_DEF_70-99_0_0,1022,2014,4,40,Groot,3.6,7212
GO48,TBB_DEF_70-99_0_0,1024,2014,4,43,Groot,3.5,7078
GO48,TBB_DEF_70-99_0_0,1025,2014,4,44,Groot,3.7,7366
GO48,TBB_DEF_70-99_0_0,1032,2014,4,48,Groot,3.6,7264
GO31,TBB_DEF_70-99_0_0,1070,2015,1,8,Groot,4.1,8179
HD36,OTB_DEF_100-119_0_0,1071,2015,1,8,Euro,9.3,2801
WR19,OTB_DEF_70-99_0_0,1072,2015,1,8,Groot,2.8,1358
HD22,TBB_DEF_70-99_0_0,1073,2015,1,8,Groot,4.7,9402
UK158,OTB_DEF_70-99_0_0,1074,2015,1,8,Euro,4.7,1399
RN1,TBB_DEF_70-99_0_0,1075,2015,1,8,Groot,5,10050.4
GO48,TBB_DEF_70-99_0_0,1076,2015,1,10,Groot,3.8,7586
OD6,TBB_DEF_70-99_0_0,1077,2015,1,10,Groot,4.1,7320
GO58,OTB_DEF_70-99_0_0,945,2014,2,20,Euro,3.7,1108
TX29,TBB_DEF_70-99_0_0,1079,2015,1,10,Groot,4,9029
UK45,TBB_DEF_70-99_0_0,1080,2015,1,10,Groot,4.2,12177
WR244,TBB_DEF_70-99_0_0,1081,2015,1,10,Euro,3.8,1131
UK33,TBB_DEF_70-99_0_0,1082,2015,1,10,Groot,4.2,10041
UK284,TBB_DEF_70-99_0_0,1083,2015,1,10,Groot,4.6,9120
WR19,OTB_DEF_70-99_0_0,1084,2015,1,10,Groot,7.4,3599
GO58,OTB_MCD_70-99_0_0,949,2014,2,23,Euro,7.3,2182
GO58,OTB_MCD_70-99_0_0,962,2014,3,27,Euro,5.4,1631
GO58,OTB_MCD_70-99_0_0,975,2014,3,32,Euro,6.7,2013
HD36,OTB_DEF_100-119_0_0,1085,2015,1,12,Euro,6.3,1885
HD22,TBB_DEF_70-99_0_0,1086,2015,1,12,Groot,4.1,8128
RN1,TBB_DEF_100-119_0_0,1087,2015,1,12,Groot,3,6030.24
UK158,OTB_DEF_70-99_0_0,1088,2015,1,12,Euro,4.4,1325
UK33,TBB_DEF_70-99_0_0,1089,2015,1,13,Groot,4.2,10098
GO58,TBB_DEF_70-99_0_0,925,2014,1,13,Euro,3.8,1144
GO58,TBB_DEF_70-99_0_0,936,2014,2,17,Euro,4.2,1258
TX29,TBB_DEF_G120_0_0,1090,2015,1,13,Groot,4.3,9736
GY127,OTB_DEF_100-119_0_0,768,2013,3,31,Groot,5,13498
GY127,OTB_DEF_100-119_0_0,779,2013,2,20,Groot,5,13498
GY127,OTB_DEF_100-119_0_0,780,2013,2,25,Groot,5,13498
GY127,OTB_DEF_100-119_0_0,917,2014,1,10,Groot,3,8098.8
GY127,OTB_DEF_100-119_0_0,970,2014,3,31,Groot,5,13498
WR244,TBB_DEF_70-99_0_0,1091,2015,1,13,Euro,1.85,545.5
GY127,OTB_DEF_G120_0_0,967,2014,3,28,Groot,5,13498
HD22,TBB_DEF_70-99_0_0,781,2013,1,10,Groot,6.6,13245
HD22,TBB_DEF_70-99_0_0,782,2013,2,15,Groot,6.5,12925
HD22,TBB_DEF_70-99_0_0,783,2013,2,19,Groot,4.4,8803
HD22,TBB_DEF_70-99_0_0,784,2013,2,24,Groot,4.4,8850
HD22,TBB_DEF_70-99_0_0,829,2013,3,28,Groot,4.2,8301
HD22,TBB_DEF_70-99_0_0,830,2013,3,32,Groot,4.3,8637
HD22,TBB_DEF_70-99_0_0,831,2013,3,37,Groot,6.3,12618
HD22,TBB_DEF_70-99_0_0,869,2013,4,41,Groot,6.6,13148
HD22,TBB_DEF_70-99_0_0,870,2013,4,45,Groot,5.5,10962
HD22,TBB_DEF_70-99_0_0,871,2013,4,49,Groot,5.6,11124
HD22,TBB_DEF_70-99_0_0,900,2014,1,5,Groot,6.6,13241
HD22,TBB_DEF_70-99_0_0,915,2014,1,10,Groot,6.4,12782
HD22,TBB_DEF_70-99_0_0,931,2014,2,15,Groot,6.6,13118
HD22,TBB_DEF_70-99_0_0,963,2014,3,27,Groot,5.2,10389
HD22,TBB_DEF_70-99_0_0,983,2014,3,37,Groot,4.3,8580
HD22,TBB_DEF_70-99_0_0,992,2014,4,41,Groot,4.3,8628
HD22,TBB_DEF_70-99_0_0,1034,2014,4,49,Groot,6.7,13316
HD22,TBB_DEF_70-99_0_0,1046,2014,4,45,Groot,7.3,14573
HD22,TBB_DEF_70-99_0_0,1052,2014,4,47,Groot,6.7,13328
UK45,TBB_DEF_70-99_0_0,1092,2015,1,13,Groot,3.9,11249
TH10,TBB_DEF_70-99_0_0,1093,2015,2,15,Euro,1.6,484.5
HD36,OTB_DEF_100-119_0_0,785,2013,1,12,Euro,3,904
HD36,OTB_DEF_100-119_0_0,786,2013,2,15,Euro,9.3,2800
HD36,OTB_DEF_100-119_0_0,787,2013,2,22,Euro,6.1,1838
HD36,OTB_DEF_100-119_0_0,788,2013,2,25,Euro,8.5,2563
HD36,OTB_DEF_100-119_0_0,832,2013,3,27,Euro,9.2,2771
HD36,OTB_DEF_100-119_0_0,894,2013,3,31,Euro,4.95,1490.5
HD36,OTB_DEF_100-119_0_0,913,2014,1,9,Euro,7.4,2221
HD36,OTB_DEF_100-119_0_0,933,2014,2,15,Euro,8.5,2562
HD36,OTB_DEF_100-119_0_0,943,2014,2,20,Euro,8.3,2480
HD36,OTB_DEF_100-119_0_0,973,2014,3,32,Euro,5.6,1693
HD36,OTB_DEF_100-119_0_0,984,2014,3,38,Euro,9.2,2778
HD36,OTB_DEF_100-119_0_0,1043,2014,4,45,Euro,3.6,1074
GO31,TBB_DEF_70-99_0_0,1094,2015,2,15,Groot,3.5,6992
TX29,TBB_DEF_70-99_0_0,1095,2015,2,15,Groot,3.3,7610
WR19,OTB_DEF_70-99_0_0,1097,2015,2,15,Groot,5.3,2586
WR244,TBB_DEF_70-99_0_0,1098,2015,2,15,Euro,2.9,881.5
HD36,OTB_DEF_100-119_0_0,1099,2015,2,15,Euro,9.6,2891
UK33,TBB_DEF_70-99_0_0,1100,2015,2,16,Groot,5.3,12589.5
RN1,TBB_DEF_100-119_0_0,1101,2015,2,16,Groot,4,8040.32
GO58,OTB_DEF_70-99_0_0,1102,2015,2,16,Euro,4.1,1227
UK284,TBB_DEF_G120_0_0,1103,2015,2,16,Groot,4.9,9753
UK158,OTB_DEF_70-99_0_0,1104,2015,2,16,Euro,4,1210
HD36,OTB_DEF_70-99_0_0,834,2013,3,37,Euro,5.7,1700
HD36,OTB_MCD_70-99_0_0,872,2013,4,41,Euro,4.2,1275
HD36,OTB_MCD_70-99_0_0,873,2013,4,45,Euro,6.3,1896
HD36,OTB_MCD_70-99_0_0,874,2013,4,49,Euro,4.3,1290
HD36,OTB_MCD_70-99_0_0,952,2014,2,24,Euro,7.9,2378
HD36,TBB_DEF_100-119_0_0,1037,2014,4,42,Euro,8.9,2672
HD36,TBB_DEF_100-119_0_0,1049,2014,4,47,Euro,9.4,2815
OD50,TBB_DEF_70-99_0_0,791,2013,1,10,Euro,3.4,1014
OD50,TBB_DEF_70-99_0_0,792,2013,2,24,Euro,6.4,1922
OD50,TBB_DEF_70-99_0_0,835,2013,3,29,Euro,6.4,1930
OD50,TBB_DEF_70-99_0_0,878,2013,4,41,Euro,7.4,2219
OD50,TBB_DEF_70-99_0_0,939,2014,2,18,Euro,4,1194
OD50,TBB_DEF_70-99_0_0,1001,2014,1,10,Euro,2,594
OD50,TBB_DEF_70-99_0_0,1006,2014,1,13,Euro,6.6,1994
OD50,TBB_DEF_70-99_0_0,1014,2014,3,27,Euro,3.3,977
OD50,TBB_DEF_70-99_0_0,1029,2014,4,46,Euro,2.1,636.5
OD50,TBB_DEF_70-99_0_0,1031,2014,4,48,Euro,1.9,571
GO58,OTB_DEF_70-99_0_0,1105,2015,2,17,Euro,6.4,1911
WR244,TBB_DEF_70-99_0_0,1106,2015,2,18,Euro,1.8,532.5
HD36,OTB_DEF_100-119_0_0,1107,2015,2,18,Euro,8.8,2633
GO58,OTB_DEF_70-99_0_0,1108,2015,2,18,Euro,3.4,1031
WR19,OTB_DEF_70-99_0_0,1109,2015,2,18,Groot,4.8,2363
UK284,TBB_DEF_70-99_0_0,1110,2015,2,19,Groot,5,9921
OD6,OTB_DEF_100-119_0_0,790,2013,2,25,Groot,4.3,7746
OD6,OTB_DEF_100-119_0_0,836,2013,3,28,Groot,4.3,7752
OD6,OTB_DEF_100-119_0_0,837,2013,3,32,Groot,5.1,9096
OD6,OTB_DEF_100-119_0_0,838,2013,3,36,Groot,5,8957
OD6,OTB_DEF_100-119_0_0,938,2014,2,18,Groot,4,7207
OD6,OTB_DEF_100-119_0_0,950,2014,2,23,Groot,4.1,7386
OD6,OTB_DEF_100-119_0_0,957,2014,2,25,Groot,4.2,7535
UK33,TBB_DEF_70-99_0_0,1111,2015,2,19,Groot,3.6,8449
UK153,SSC_DEF_70-99_0_0,1112,2015,2,19,Groot,1.85,1766
OD6,TBB_DEF_70-99_0_0,770,2013,1,10,Groot,4.3,7766
OD6,TBB_DEF_70-99_0_0,789,2013,1,6,Groot,4.3,7657
OD6,TBB_DEF_70-99_0_0,875,2013,4,41,Groot,4.3,7750
OD6,TBB_DEF_70-99_0_0,876,2013,4,46,Groot,4.1,7468
OD6,TBB_DEF_70-99_0_0,877,2013,4,48,Groot,4.2,7620
OD6,TBB_DEF_70-99_0_0,995,2014,1,6,Groot,4.2,7631
OD6,TBB_DEF_70-99_0_0,1004,2014,1,11,Groot,4.2,7598
OD6,TBB_DEF_70-99_0_0,1008,2014,1,13,Groot,3.6,6414
OD6,TBB_DEF_70-99_0_0,1023,2014,4,40,Groot,4.2,7491
OD6,TBB_DEF_70-99_0_0,1026,2014,4,44,Groot,4.3,7766
OD6,TBB_DEF_70-99_0_0,1030,2014,4,48,Groot,4.3,7786
OD6,OTB_DEF_100-119_0_0,1113,2015,2,20,Groot,4.2,7551
WR19,OTB_DEF_70-99_0_0,1114,2015,2,21,Groot,4.3,2100
WR108,OTB_MCD_70-99_0_0,1115,2015,2,21,Euro,3.8,1146
GO58,OTB_MCD_70-99_0_0,1116,2015,2,21,Euro,4.2,1275
GO31,TBB_DEF_70-99_0_0,1117,2015,2,23,Groot,4.1,8136
HD36,OTB_DEF_100-119_0_0,1118,2015,2,23,Euro,4.5,1350
GO58,TBB_DEF_70-99_0_0,1119,2015,2,23,Euro,3.3,985.5
UK153,SSC_DEF_100-119_0_0,1120,2015,2,23,Groot,2.4,2303.5
RN1,TBB_DEF_100-119_0_0,793,2013,2,20,Groot,5,10050.4
RN1,TBB_DEF_100-119_0_0,879,2013,4,43,Groot,5,10050.4
RN1,TBB_DEF_100-119_0_0,895,2013,2,16,Groot,5,10050.4
RN1,TBB_DEF_100-119_0_0,896,2013,2,25,Groot,4,8040.32
RN1,TBB_DEF_100-119_0_0,897,2013,3,38,Groot,4,8040.32
RN1,TBB_DEF_100-119_0_0,930,2014,2,14,Groot,5,10050.4
RN1,TBB_DEF_100-119_0_0,941,2014,2,19,Groot,4,8040.32
RN1,TBB_DEF_100-119_0_0,959,2014,2,25,Groot,5,10050.4
RN1,TBB_DEF_100-119_0_0,990,2014,3,39,Groot,4,8040.32
RN1,TBB_DEF_100-119_0_0,1041,2014,4,44,Groot,5,10050.4
WR108,OTB_MCD_70-99_0_0,1121,2015,2,23,Euro,6.8,2045
RN1,TBB_DEF_100-119_0_0,1122,2015,2,23,Groot,5,10050.4
OD50,TBB_DEF_70-99_0_0,1123,2015,2,24,Euro,2.05,618
GY127,OTB_DEF_100-119_0_0,1124,2015,2,24,Groot,4,10798.4
RN1,TBB_DEF_70-99_0_0,880,2013,4,50,Groot,5,10050.4
RN1,TBB_DEF_70-99_0_0,903,2014,1,5,Groot,5,10050.4
RN1,TBB_DEF_70-99_0_0,910,2014,1,8,Groot,4,8040.32
RN1,TBB_DEF_70-99_0_0,921,2014,1,11,Groot,5,10050.4
RN1,TBB_DEF_70-99_0_0,1048,2014,4,45,Groot,5,10050.4
RN1,TBB_DEF_70-99_0_0,1053,2014,4,47,Groot,5,10050.4
SL27,SSC_DEF_70-99_0_0,1125,2015,2,24,Groot,3,3128
TH10,OTB_DEF_G120_0_0,1126,2015,2,25,Euro,3.8,1152
SL27,SSC_DEF_70-99_0_0,1127,2015,2,25,Groot,2.2,2334
GO58,OTB_MCD_70-99_0_0,1128,2015,2,25,Euro,3.9,1172
OD6,OTB_DEF_100-119_0_0,1129,2015,2,25,Groot,4.2,7550
TX29,TBB_DEF_70-99_0_0,1130,2015,2,25,Groot,1.9,4343.5
UK158,OTB_MCD_70-99_0_0,1131,2015,2,25,Euro,4.7,1411
UK153,SSC_DEF_100-119_0_0,1132,2015,2,25,Groot,1.9,1798
WR244,TBB_DEF_70-99_0_0,1133,2015,2,25,Euro,2,596
OD50,TBB_DEF_70-99_0_0,1134,2015,3,27,Euro,3.2,954
GO48,TBB_DEF_70-99_0_0,1135,2015,3,27,Groot,3.3,6607
GO31,TBB_DEF_70-99_0_0,1136,2015,3,27,Groot,4.1,8218
WR108,OTB_MCD_70-99_0_0,1137,2015,3,27,Euro,4.5,1366
UK24,SSC_DEF_100-119_0_0,1138,2015,3,27,Groot,3.9,3622
UK45,TBB_DEF_70-99_0_0,1139,2015,3,27,Groot,3.9,11355
UK284,TBB_DEF_70-99_0_0,1140,2015,3,27,Groot,4,8036
TH10,TBB_DEF_70-99_0_0,796,2013,1,12,Euro,2.15,642
TH10,TBB_DEF_70-99_0_0,797,2013,2,22,Euro,2.1,631
TH10,TBB_DEF_70-99_0_0,798,2013,2,24,Euro,2.1,632.5
TH10,TBB_DEF_70-99_0_0,839,2013,3,30,Euro,1.433333333,422
TH10,TBB_DEF_70-99_0_0,881,2013,4,42,Euro,4.2,1249
TH10,TBB_DEF_70-99_0_0,882,2013,4,45,Euro,4,1209
TH10,TBB_DEF_70-99_0_0,937,2014,2,17,Euro,1.55,462.5
TH10,TBB_DEF_70-99_0_0,994,2014,1,6,Euro,3,891
TH10,TBB_DEF_70-99_0_0,997,2014,1,9,Euro,1.75,536.5
TH10,TBB_DEF_70-99_0_0,1002,2014,1,11,Euro,1.266666667,382.3333333
TH10,TBB_DEF_70-99_0_0,1011,2014,2,19,Euro,1.65,492.5
TH10,TBB_DEF_70-99_0_0,1028,2014,4,46,Euro,1.966666667,591.6666667
GO58,OTB_DEF_70-99_0_0,1141,2015,3,27,Euro,4.1,1247
SL27,SSC_DEF_70-99_0_0,1142,2015,3,27,Groot,1.95,2063
UK33,TBB_DEF_70-99_0_0,1143,2015,3,27,Groot,4.1,9816
GO58,OTB_MCD_70-99_0_0,1144,2015,3,29,Euro,4.1,1246
WR19,OTB_MCD_70-99_0_0,1145,2015,3,29,Groot,4.4,2135
HD36,OTB_DEF_100-119_0_0,1146,2015,3,28,Euro,6,1803
TH7,TBB_DEF_100-119_0_0,940,2014,2,19,Euro,4.2,1274
TH7,TBB_DEF_70-99_0_0,794,2013,2,22,Euro,2.05,621
TH7,TBB_DEF_70-99_0_0,795,2013,2,24,Euro,2.05,621.5
TH7,TBB_DEF_70-99_0_0,998,2014,1,9,Euro,4.1,1225
TH7,TBB_DEF_70-99_0_0,1003,2014,1,11,Euro,3.6,1085
TH7,TBB_DEF_70-99_0_0,1016,2014,3,32,Euro,3.9,1165
TH7,TBB_DEF_70-99_0_0,1020,2014,3,39,Euro,1.8,548
TH7,TBB_DEF_70-99_0_0,1035,2014,4,43,Euro,1.65,499.5
WR108,OTB_MCD_70-99_0_0,1148,2015,3,30,Euro,4.2,1253
RN1,TBB_DEF_100-119_0_0,1149,2015,3,30,Groot,5,10050.4
SL27,SSC_DEF_70-99_0_0,1150,2015,3,30,Groot,2.05,2135.5
TX29,TBB_DEF_100-119_0_0,801,2013,2,19,Groot,4.5,10234
TX29,TBB_DEF_70-99_0_0,769,2013,1,5,Groot,3.9,8790
TX29,TBB_DEF_70-99_0_0,799,2013,1,11,Groot,4.1,9357
TX29,TBB_DEF_70-99_0_0,800,2013,2,16,Groot,3.9,8857
TX29,TBB_DEF_70-99_0_0,802,2013,2,26,Groot,3.9,8895
TX29,TBB_DEF_70-99_0_0,840,2013,3,28,Groot,3.9,8863
TX29,TBB_DEF_70-99_0_0,841,2013,3,36,Groot,3.8,8576
TX29,TBB_DEF_70-99_0_0,842,2013,4,40,Groot,3.9,8820
TX29,TBB_DEF_70-99_0_0,883,2013,4,43,Groot,3.9,8890
TX29,TBB_DEF_70-99_0_0,884,2013,4,50,Groot,3.9,8829
TX29,TBB_DEF_70-99_0_0,905,2014,1,5,Groot,3.9,8895
TX29,TBB_DEF_70-99_0_0,916,2014,1,10,Groot,3.8,8715
TX29,TBB_DEF_70-99_0_0,932,2014,2,15,Groot,4.1,9454
TX29,TBB_DEF_70-99_0_0,944,2014,2,20,Groot,3.7,8382
TX29,TBB_DEF_70-99_0_0,953,2014,2,24,Groot,3.3,7495
TX29,TBB_DEF_70-99_0_0,966,2014,3,28,Groot,3.8,8662
TX29,TBB_DEF_70-99_0_0,981,2014,3,34,Groot,3.7,8358
TX29,TBB_DEF_70-99_0_0,986,2014,3,38,Groot,3.8,8626
TX29,TBB_DEF_70-99_0_0,1039,2014,4,43,Groot,3.9,8939
TX29,TBB_DEF_70-99_0_0,1044,2014,4,45,Groot,3.9,8796
TX29,TBB_DEF_70-99_0_0,1060,2014,4,48,Groot,3.9,8920
WR108,OTB_MCD_70-99_0_0,1151,2015,3,31,Euro,4.1,1222
SL27,SSC_DEF_70-99_0_0,1152,2015,3,31,Groot,2,2074.5
UK153,SSC_DEF_G120_0_0,1153,2015,3,31,Groot,2.6,2438
HD36,OTB_DEF_100-119_0_0,1154,2015,3,31,Euro,3.7,1106
TH10,OTB_DEF_G120_0_0,1155,2015,3,33,Euro,4,1207
TH7,OTB_DEF_G120_0_0,1156,2015,3,33,Euro,3.9,1185
GO31,TBB_DEF_70-99_0_0,1157,2015,3,33,Groot,3.2,6426
UK24,SSC_DEF_G120_0_0,1158,2015,3,33,Groot,4.1,3740
WR108,OTB_MCD_70-99_0_0,1159,2015,3,33,Euro,4.3,1295
TX29,TBB_DEF_70-99_0_0,1160,2015,3,33,Groot,3.7,8494
GO58,OTB_MCD_70-99_0_0,1161,2015,3,33,Euro,4.2,1254
WR244,TBB_DEF_70-99_0_0,1162,2015,3,33,Euro,1.366666667,408.3333333
UK153,SSC_DEF_G120_0_0,843,2013,3,30,Groot,3.5,3300
UK153,SSC_DEF_G120_0_0,844,2013,3,36,Groot,4.4,4198
UK158,OTB_MCD_70-99_0_0,1163,2015,3,33,Euro,4.3,1289
UK158,OTB_DEF_100-119_0_0,923,2014,1,11,Euro,4.5,1345
UK158,OTB_DEF_100-119_0_0,929,2014,2,14,Euro,4.5,1350
UK158,OTB_DEF_100-119_0_0,947,2014,2,20,Euro,4.8,1457
UK158,OTB_DEF_70-99_0_0,766,2013,2,15,Euro,4.9,1476
UK158,OTB_DEF_70-99_0_0,809,2013,1,11,Euro,3.8,1149
UK158,OTB_DEF_70-99_0_0,810,2013,2,20,Euro,4.4,1311
UK158,OTB_DEF_70-99_0_0,811,2013,2,25,Euro,4.3,1305
UK158,OTB_DEF_70-99_0_0,904,2014,1,5,Euro,3.3,993
SL27,SSC_DEF_100-119_0_0,1164,2015,3,34,Groot,1.7,1790
GO48,TBB_DEF_70-99_0_0,1165,2015,3,35,Groot,4,7937
UK33,TBB_DEF_70-99_0_0,1166,2015,3,35,Groot,4.4,10488
UK284,TBB_DEF_70-99_0_0,1167,2015,3,35,Groot,4,8071
UK158,OTB_MCD_70-99_0_0,845,2013,3,29,Euro,4.4,1319
UK158,OTB_MCD_70-99_0_0,846,2013,3,35,Euro,4.2,1272
UK158,OTB_MCD_70-99_0_0,890,2013,4,43,Euro,4,1197
UK158,OTB_MCD_70-99_0_0,960,2014,2,26,Euro,4.2,1255
UK158,OTB_MCD_70-99_0_0,968,2014,3,29,Euro,4.3,1296
UK45,TBB_DEF_70-99_0_0,1168,2015,3,35,Groot,4.1,11829
OD6,TBB_DEF_70-99_0_0,1169,2015,3,36,Groot,4.1,7343
OD50,TBB_DEF_70-99_0_0,1170,2015,3,36,Euro,5.9,1769
GO58,OTB_MCD_70-99_0_0,1171,2015,3,36,Euro,4.4,1320
SL27,SSC_DEF_70-99_0_0,1172,2015,3,36,Groot,2,2064
UK24,SSC_DEF_100-119_0_0,771,2013,2,25,Groot,4.3,3990
UK24,SSC_DEF_100-119_0_0,803,2013,2,25,Groot,4.3,3990
UK24,SSC_DEF_100-119_0_0,848,2013,3,35,Groot,2,1810
UK24,SSC_DEF_100-119_0_0,972,2014,3,32,Groot,1.65,1511
UK24,SSC_DEF_100-119_0_0,982,2014,3,36,Groot,1.8,1614
UK24,SSC_DEF_100-119_0_0,985,2014,3,38,Groot,3.4,3135
GO31,TBB_DEF_70-99_0_0,1173,2015,3,37,Groot,3.1,6201
UK24,SSC_DEF_G120_0_0,847,2013,3,32,Groot,4.4,4056
UK24,SSC_DEF_G120_0_0,849,2013,3,38,Groot,3.4,3154
UK24,SSC_DEF_G120_0_0,885,2013,4,43,Groot,1.8,1698
UK24,SSC_DEF_G120_0_0,946,2014,2,20,Groot,5.2,4800
UK24,SSC_DEF_G120_0_0,955,2014,3,25,Groot,1.8,1698
UK24,SSC_DEF_G120_0_0,991,2014,4,41,Groot,3.5,3188
WR108,OTB_MCD_70-99_0_0,1174,2015,3,37,Euro,4,1199
SL27,SSC_DEF_70-99_0_0,1175,2015,3,37,Groot,2,2070
OD6,TBB_DEF_70-99_0_0,1176,2015,3,39,Groot,3.9,6937
UK284,TBB_DEF_100-119_0_0,850,2013,3,31,Groot,4.9,9722
UK284,TBB_DEF_100-119_0_0,898,2013,2,25,Groot,4.1,8286
UK284,TBB_DEF_70-99_0_0,812,2013,1,8,Groot,4.2,8452
UK284,TBB_DEF_70-99_0_0,813,2013,1,11,Groot,4.1,8238
UK284,TBB_DEF_70-99_0_0,851,2013,3,39,Groot,4.4,8747
UK284,TBB_DEF_70-99_0_0,902,2014,1,5,Groot,3.9,7836
UK284,TBB_DEF_70-99_0_0,911,2014,1,8,Groot,4.1,8186
UK284,TBB_DEF_70-99_0_0,919,2014,1,11,Groot,4.1,8252
UK284,TBB_DEF_70-99_0_0,928,2014,2,14,Groot,4.6,9253
UK284,TBB_DEF_70-99_0_0,942,2014,2,19,Groot,4.6,9165
UK284,TBB_DEF_70-99_0_0,976,2014,3,32,Groot,4.7,9336
UK284,TBB_DEF_70-99_0_0,978,2014,3,34,Groot,4.2,8402
UK284,TBB_DEF_70-99_0_0,987,2014,3,38,Groot,4.1,8113
UK284,TBB_DEF_70-99_0_0,1036,2014,4,49,Groot,4,8017
UK284,TBB_DEF_70-99_0_0,1042,2014,4,44,Groot,4.6,9199
UK284,TBB_DEF_70-99_0_0,1047,2014,4,45,Groot,4.7,9309
UK284,TBB_DEF_70-99_0_0,1054,2014,4,48,Groot,4.2,8438
GO48,TBB_DEF_70-99_0_0,1177,2015,3,39,Groot,4.1,8084
HD36,OTB_DEF_100-119_0_0,1178,2015,3,39,Euro,6.7,2024
GO58,OTB_DEF_70-99_0_0,1179,2015,3,39,Euro,6.4,1933
UK24,SSC_DEF_G120_0_0,1180,2015,3,39,Groot,3.4,3166
RN1,TBB_DEF_70-99_0_0,1181,2015,3,39,Groot,5,10050.4
GO31,TBB_DEF_70-99_0_0,1182,2015,4,41,Groot,4.1,8191
UK24,SSC_DEF_G120_0_0,1183,2015,4,41,Groot,3.5,3229
TX29,TBB_DEF_70-99_0_0,1184,2015,4,41,Groot,3.9,8830
UK284,TBB_DEF_G120_0_0,814,2013,2,16,Groot,4.7,9319
UK284,TBB_DEF_G120_0_0,815,2013,2,20,Groot,5,9936
TH7,OTB_DEF_G120_0_0,1185,2015,4,41,Euro,4,1199
UK33,TBB_DEF_70-99_0_0,804,2013,1,8,Groot,4.5,10758
UK33,TBB_DEF_70-99_0_0,805,2013,1,11,Groot,4.7,11183
UK33,TBB_DEF_70-99_0_0,806,2013,2,16,Groot,4.4,10443
UK33,TBB_DEF_70-99_0_0,852,2013,3,38,Groot,4.6,11048
UK33,TBB_DEF_70-99_0_0,886,2013,4,43,Groot,4.3,10227
