ship,metier,tripnr,year,quar,week,hpsegment2,effort,hpeffort
GO31,TBB_DEF_70-99_0_0,772,2013,1,9,Groot,4,8064
GO31,TBB_DEF_70-99_0_0,773,2013,1,12,Groot,4.1,8118
GO31,TBB_DEF_70-99_0_0,774,2013,2,19,Groot,4,8077
GO31,TBB_DEF_70-99_0_0,775,2013,2,24,Groot,4.2,8371
GO31,TBB_DEF_70-99_0_0,823,2013,3,29,Groot,4.1,8278
GO31,TBB_DEF_70-99_0_0,824,2013,3,35,Groot,4,8056
GO31,TBB_DEF_70-99_0_0,825,2013,4,40,Groot,4,8048
GO31,TBB_DEF_70-99_0_0,865,2013,4,46,Groot,4,7973
GO31,TBB_DEF_70-99_0_0,866,2013,4,49,Groot,3.4,6727
GO31,TBB_DEF_70-99_0_0,999,2014,1,9,Groot,4,7914
GO31,TBB_DEF_70-99_0_0,1005,2014,1,11,Groot,4,7986
GO31,TBB_DEF_70-99_0_0,1010,2014,2,19,Groot,3.5,7040
GO31,TBB_DEF_70-99_0_0,1013,2014,2,25,Groot,3.8,7638
GO31,TBB_DEF_70-99_0_0,1015,2014,3,29,Groot,3.8,7680
GO31,TBB_DEF_70-99_0_0,1017,2014,3,32,Groot,4.1,8212
GO31,TBB_DEF_70-99_0_0,1019,2014,3,36,Groot,4.1,8193
GO31,TBB_DEF_70-99_0_0,1021,2014,3,39,Groot,4.1,8200
GO31,TBB_DEF_70-99_0_0,1027,2014,4,46,Groot,3.8,7559
GO31,TBB_DEF_70-99_0_0,1033,2014,4,48,Groot,4.1,8237
GO48,TBB_DEF_70-99_0_0,1061,2015,1,6,Groot,3.8,7564
OD50,TBB_DEF_70-99_0_0,1062,2015,1,6,Euro,3.9,1163
OD6,TBB_DEF_70-99_0_0,1063,2015,1,6,Groot,4.3,7653
UK33,TBB_DEF_70-99_0_0,1064,2015,1,6,Groot,5.1,12236
UK45,TBB_DEF_70-99_0_0,1065,2015,1,6,Groot,4.2,12182
UK284,TBB_DEF_70-99_0_0,1066,2015,1,6,Groot,5.1,10167
TX29,TBB_DEF_70-99_0_0,1067,2015,1,6,Groot,3.9,8823
TH7,TBB_DEF_70-99_0_0,1068,2015,1,8,Euro,4,1202
TH10,TBB_DEF_70-99_0_0,1069,2015,1,8,Euro,3.2,975
