year,effort
1995,7582.97380952381
1996,6753.7
1997,6149.683333333333
1998,6257.416666666667
1999,6526.75
2e3,6648.2
2001,6426.1
2002,6143.2
2003,5556.2
2004,5421.2
2005,5248.864285714286
2006,4690.55
2007,4700.766666666666
2008,3602.25
2009,3685.85
2010,3702.15
2011,3514.55
2012,2994.383333333333
2013,2827
2014,2752.75
2015,2686.75
2016,2643.95
