"","catF","lanF","catch","landings","catB","lanB"
"F05",0.485888030888031,NA,2670.53888450697,NA,4732.98442137651,NA
"F10",0.50655418559377,NA,2620.65044173715,NA,4345.16723900912,NA
"F50",0.585088145896656,NA,2245.39749556222,NA,2908.04275007322,NA
"medianMSY",NA,0.382382382382382,NA,2770.57395353097,NA,7076.55677315041
"meanMSY",0.38,0.38,2769.88917484484,2769.88917484484,7142.01321092642,7142.01321092642
"Medlower",NA,0.263263263263263,NA,2632.68235438097,NA,11362.1769856887
"Meanlower",NA,0.261711711711712,NA,2697.28704069466,NA,NA
"Medupper",NA,0.502502502502503,NA,2632.49053234452,NA,4419.88472035445
"Meanupper",NA,0.497567567567568,NA,2697.05162465599,NA,NA
