"","catF","lanF","catch","landings","catB","lanB"
"F05",0.764726277372263,NA,2590.30659106336,NA,4071.71577765079,NA
"F10",0.842773109243697,NA,2537.62264603612,NA,3795.79545477653,NA
"F50",NA,NA,NA,NA,NA,NA
"medianMSY",NA,0.425425425425425,NA,2795.65942597155,NA,6579.80727692657
"meanMSY",0.41,0.41,2795.07677988807,2795.07677988807,6836.47518824657,6836.47518824657
"Medlower",NA,0.272272272272272,NA,2657.44514219468,NA,10942.8630617388
"Meanlower",NA,0.263693693693694,NA,2700.18603844103,NA,NA
"Medupper",NA,0.66966966966967,NA,2656.91043776421,NA,4485.19381604177
"Meanupper",NA,0.735405405405405,NA,2700.62351431978,NA,NA
