"","catF","lanF","catch","landings","catB","lanB"
"F05",0.575360920970753,NA,2615.95486560627,NA,3505.58785527,NA
"F10",0.585739954263313,NA,2599.76177856277,NA,3382.90427657651,NA
"F50",0.617880772270521,NA,2429.09226960718,NA,2903.24348847713,NA
"medianMSY",NA,0.351351351351351,NA,2761.0339427894,NA,7988.14457819593
"meanMSY",0.35,0.35,2760.58123162512,2760.58123162512,8034.49708760583,8034.49708760583
"Medlower",NA,0.22022022022022,NA,2624.04758239026,NA,14354.033676566
"Meanlower",NA,0.222072072072072,NA,2645.4359719034,NA,NA
"Medupper",NA,0.592592592592593,NA,2622.85889542066,NA,3329.68998490519
"Meanupper",NA,0.584774774774775,NA,2647.1452964792,NA,NA
