year,dpue,n,prog
2013,0.048658885,15,self
2014,0.123675957,18,self
2015,0.069731301,28,self
2016,0.078443874,59,self
2013,0.020327361,2,obs
2014,0.024428321,4,obs
2015,0.007602091,3,obs
2016,0.075003735,7,obs
