ship,metier,tripnr,year,quar,week,hpsegment2,effort,hpeffort
GO31,TBB_DEF_70-99_0_0,1240,2016,1,6,Groot,3.1,6236
GO31,TBB_DEF_70-99_0_0,1253,2016,1,8,Groot,4.1,8172
GO31,TBB_DEF_70-99_0_0,1267,2016,1,11,Groot,3.8,7505
GO31,TBB_DEF_70-99_0_0,1279,2016,2,14,Groot,4,8040
GO31,TBB_DEF_70-99_0_0,1291,2016,2,19,Groot,4.4,8717
GO31,TBB_DEF_70-99_0_0,1310,2016,2,25,Groot,4.1,8278
GO31,TBB_DEF_70-99_0_0,1329,2016,3,32,Groot,4,7922
GO31,TBB_DEF_70-99_0_0,1343,2016,3,38,Groot,4.1,8175
GO31,TBB_DEF_70-99_0_0,1356,2016,4,40,Groot,4,8071
GO31,TBB_DEF_70-99_0_0,1373,2016,4,44,Groot,4.1,8138
GO48,TBB_DEF_70-99_0_0,1235,2016,1,5,Groot,4,8050
GO48,TBB_DEF_70-99_0_0,1241,2016,1,6,Groot,3.2,6394
GO48,TBB_DEF_70-99_0_0,1245,2016,1,7,Groot,4.1,8113
GO48,TBB_DEF_70-99_0_0,1255,2016,1,9,Groot,4.1,8112
GO48,TBB_DEF_70-99_0_0,1302,2016,2,23,Groot,3.8,7601
GO48,TBB_DEF_70-99_0_0,1319,2016,3,28,Groot,4.1,8135
GO48,TBB_DEF_70-99_0_0,1344,2016,3,38,Groot,4.1,8099
GO48,TBB_DEF_70-99_0_0,1364,2016,4,42,Groot,3.8,7606
GO48,TBB_DEF_70-99_0_0,1379,2016,4,46,Groot,4.2,8389
GY127,OTB_DEF_100-119_0_0,1305,2016,2,24,Groot,4,10798.4
GY127,OTB_DEF_G120_0_0,1345,2016,3,38,Groot,4,10798.4
HD36,OTB_DEF_100-119_0_0,1280,2016,2,16,Euro,7.8,2349
HD36,OTB_DEF_100-119_0_0,1314,2016,2,26,Euro,8.4,2513
HD36,OTB_DEF_100-119_0_0,1346,2016,3,39,Euro,8.2,2455
HD36,OTB_DEF_100-119_0_0,1357,2016,4,41,Euro,9.2,2768
HD36,OTB_DEF_70-99_0_0,1246,2016,1,7,Euro,8.3,2490
HD36,OTB_DEF_70-99_0_0,1265,2016,1,10,Euro,7.4,2234
HD36,OTB_MCD_70-99_0_0,1268,2016,1,12,Euro,7.5,2251
HD36,OTB_MCD_70-99_0_0,1330,2016,3,32,Euro,3.2,971
HD36,OTB_MCD_70-99_0_0,1339,2016,3,36,Euro,5.7,1705
HD36,OTB_MCD_70-99_0_0,1371,2016,4,43,Euro,7.5,2255
HD36,OTB_MCD_70-99_0_0,1374,2016,4,44,Euro,6.05,1819.5
OD3,TBB_DEF_70-99_0_0,1247,2016,1,7,Euro,3.6,1088
OD3,TBB_DEF_70-99_0_0,1256,2016,1,9,Euro,4.3,1300
OD3,TBB_DEF_70-99_0_0,1289,2016,2,17,Euro,1.7,497
OD3,TBB_DEF_70-99_0_0,1303,2016,2,23,Euro,2.05,617.5
OD3,TBB_DEF_70-99_0_0,1320,2016,3,28,Euro,1.95,582
OD6,OTB_DEF_100-119_0_0,1304,2016,2,23,Groot,5,8944
OD6,OTB_DEF_100-119_0_0,1321,2016,3,28,Groot,5.7,10278
OD6,TBB_DEF_70-99_0_0,1242,2016,1,6,Groot,3.2,5685
OD6,TBB_DEF_70-99_0_0,1257,2016,1,9,Groot,4.2,7614
OD6,TBB_DEF_70-99_0_0,1273,2016,2,13,Groot,3.5,6300
OD6,TBB_DEF_70-99_0_0,1347,2016,3,38,Groot,4.3,7713
OD6,TBB_DEF_70-99_0_0,1365,2016,4,42,Groot,4.5,8145
OD6,TBB_DEF_70-99_0_0,1375,2016,4,44,Groot,4.3,7748
OD6,TBB_DEF_70-99_0_0,1380,2016,4,46,Groot,4.2,7618
RN1,TBB_DEF_100-119_0_0,1297,2016,2,22,Groot,5,10050.4
RN1,TBB_DEF_100-119_0_0,1315,2016,3,26,Groot,5,10050.4
RN1,TBB_DEF_100-119_0_0,1337,2016,3,35,Groot,4,8040.32
RN1,TBB_DEF_70-99_0_0,1258,2016,1,9,Groot,5,10050.4
RN1,TBB_DEF_70-99_0_0,1281,2016,2,16,Groot,5,10050.4
RN1,TBB_DEF_70-99_0_0,1396,2016,4,50,Groot,5,10050.4
TH10,OTB_DEF_G120_0_0,1311,2016,2,25,Euro,4,1201
TH10,TBB_DEF_70-99_0_0,1243,2016,1,6,Euro,2.3,676
TH10,TBB_DEF_70-99_0_0,1254,2016,1,8,Euro,1.9,570
TH10,TBB_DEF_70-99_0_0,1282,2016,2,15,Euro,1.4,417.3333333
TH10,TBB_DEF_70-99_0_0,1292,2016,2,19,Euro,1.3,385.6666667
TH7,OTB_DEF_100-119_0_0,1312,2016,2,25,Euro,3.9,1185
TH7,TBB_DEF_70-99_0_0,1293,2016,2,19,Euro,1.85,557.5
TH7,TBB_DEF_70-99_0_0,1362,2016,4,41,Euro,1.95,593
TX29,TBB_DEF_100-119_0_0,1283,2016,2,16,Groot,4.7,10607
TX29,TBB_DEF_100-119_0_0,1294,2016,2,19,Groot,4.6,10591
TX29,TBB_DEF_70-99_0_0,1244,2016,1,6,Groot,2.9,6629
TX29,TBB_DEF_70-99_0_0,1266,2016,1,10,Groot,3.9,8971
TX29,TBB_DEF_70-99_0_0,1269,2016,1,12,Groot,3.9,8805
TX29,TBB_DEF_70-99_0_0,1295,2016,2,20,Groot,3.3,7638
TX29,TBB_DEF_70-99_0_0,1306,2016,2,24,Groot,3.7,8527
TX29,TBB_DEF_70-99_0_0,1322,2016,3,28,Groot,3.9,8886
TX29,TBB_DEF_70-99_0_0,1340,2016,3,36,Groot,2.9,6570
TX29,TBB_DEF_70-99_0_0,1349,2016,3,38,Groot,3.9,8867
TX29,TBB_DEF_70-99_0_0,1358,2016,4,40,Groot,3.8,8725
TX29,TBB_DEF_70-99_0_0,1372,2016,4,43,Groot,4.1,9370
TX29,TBB_DEF_70-99_0_0,1376,2016,4,44,Groot,3.9,8854
TX29,TBB_DEF_70-99_0_0,1386,2016,4,48,Groot,3.8,8741
UK153,SSC_DEF_100-119_0_0,1307,2016,2,24,Groot,2.3,2165.5
UK153,SSC_DEF_70-99_0_0,1298,2016,2,22,Groot,1.95,1838.5
UK153,SSC_DEF_G120_0_0,1350,2016,3,38,Groot,2.15,2008
UK158,QUA_MCD_70-99_0_0,1299,2016,2,22,Euro,3.5,1058
UK158,QUA_MCD_70-99_0_0,1326,2016,3,30,Euro,4.6,1390
UK158,QUA_MCD_70-99_0_0,1334,2016,3,34,Euro,4.3,1305
UK158,QUA_MCD_70-99_0_0,1351,2016,3,38,Euro,4.3,1298
UK158,TBB_DEF_70-99_0_0,1236,2016,1,5,Euro,2.4,711
UK158,TBB_DEF_70-99_0_0,1248,2016,1,7,Euro,4.2,1259
UK158,TBB_DEF_70-99_0_0,1259,2016,1,9,Euro,4.5,1352
UK158,TBB_DEF_70-99_0_0,1274,2016,2,14,Euro,4.4,1320
UK158,TBB_DEF_70-99_0_0,1366,2016,4,42,Euro,4.5,1346
UK158,TBB_DEF_70-99_0_0,1381,2016,4,46,Euro,3.7,1108
UK158,TBB_DEF_70-99_0_0,1387,2016,4,48,Euro,4.3,1280
UK158,TBB_DEF_70-99_0_0,1397,2016,4,50,Euro,4.2,1263
UK24,SSC_DEF_100-119_0_0,1323,2016,3,28,Groot,3.9,3604
UK24,SSC_DEF_70-99_0_0,1308,2016,2,24,Groot,3.9,3635
UK24,SSC_DEF_G120_0_0,1352,2016,3,38,Groot,1.7,1574
UK24,SSC_DEF_G120_0_0,1367,2016,4,42,Groot,3.4,3127
