"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","SSB (2020)"
Catch(2019) = Zero,0.32,3489.62738186742,10903.9422915563,0,0,10435.6446155155,13953.8186593835
Catch(2019) = 2018 TAC,0.32,3489.62738186742,10903.9422915563,0.518808596679618,4952,10435.6446155155,8613.15140299589
Catch(2019) = 2018 TAC +15%,0.32,3489.62738186742,10903.9422915563,0.623848402391327,5694.8,10435.6446155155,7832.22127674791
Catch(2019) = 2018 TAC -15%,0.32,3489.62738186742,10903.9422915563,0.423021186107246,4209.2,10435.6446155155,9400.34190139033
Fbar(2019) = Fpa,0.32,3489.62738186742,10903.9422915563,0.43,4265.5679791448,10435.6446155155,9340.40063921278
Fbar(2019) = Fupper,0.32,3489.62738186742,10903.9422915563,0.48,4658.94278491421,10435.6446155155,8923.01180628047
Fbar(2019) = Flower,0.32,3489.62738186742,10903.9422915563,0.25,2687.74879032064,10435.6446155155,11029.7178544455
Fbar(2019) = Fmsy,0.32,3489.62738186742,10903.9422915563,0.36,3683.27897412685,10435.6446155155,9961.12986437189
Fbar(2019) = Flim,0.32,3489.62738186742,10903.9422915563,0.61,5600.89991859567,10435.6446155155,7930.57110856189
Fbar(2019) = Fsq,0.32,3489.62738186742,10903.9422915563,0.32,3333.08343653469,10435.6446155155,10336.0110462924
Fbar(2019) = Blim,0.32,3489.62738186742,10903.9422915563,1.7588905192013,10534.3739218122,10435.6446155155,2974
Fbar(2019) = Bpa,0.32,3489.62738186742,10903.9422915563,1.33523508525587,9246.19697889387,10435.6446155155,4215
Fbar(2019) = Btrig,0.32,3489.62738186742,10903.9422915563,0.852758121410654,7088.16004768463,10435.6446155155,6387
