"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","SSB (2020)"
Fmult(2018) = 0.000,0.32,3489.62738186742,10903.9422915563,2.49552066056796e-34,3.01633712047e-30,10435.6446155155,13953.8186593835
Fmult(2018) = 0.100,0.32,3489.62738186742,10903.9422915563,0.1,1152.49136285279,10435.6446155155,12693.6368248313
Fmult(2018) = 0.200,0.32,3489.62738186742,10903.9422915563,0.2,2200.04667776326,10435.6446155155,11556.3093749025
Fmult(2018) = 0.300,0.32,3489.62738186742,10903.9422915563,0.3,3153.00885554557,10435.6446155155,10529.2159092588
Fmult(2018) = 0.400,0.32,3489.62738186742,10903.9422915563,0.4,4020.64816972628,10435.6446155155,9601.08029730925
Fmult(2018) = 0.500,0.32,3489.62738186742,10903.9422915563,0.5,4811.27730737241,10435.6446155155,8761.82392675761
Fmult(2018) = 0.600,0.32,3489.62738186742,10903.9422915563,0.6,5532.35379686398,10435.6446155155,8002.43524651207
Fmult(2018) = 0.700,0.32,3489.62738186742,10903.9422915563,0.7,6190.57121955917,10435.6446155155,7314.85377264577
Fmult(2018) = 0.800,0.32,3489.62738186742,10903.9422915563,0.8,6791.94045367367,10435.6446155155,6691.86693380678
Fmult(2018) = 0.900,0.32,3489.62738186742,10903.9422915563,0.9,7341.86205811248,10435.6446155155,6127.01831645774
Fmult(2018) = 1.000,0.32,3489.62738186742,10903.9422915563,1,7845.19077938414,10435.6446155155,5614.52603330205
Fmult(2018) = 1.100,0.32,3489.62738186742,10903.9422915563,1.1,8306.29305426687,10435.6446155155,5149.2100826401
Fmult(2018) = 1.200,0.32,3489.62738186742,10903.9422915563,1.2,8729.09828296397,10435.6446155155,4726.42769432871
Fmult(2018) = 1.300,0.32,3489.62738186742,10903.9422915563,1.3,9117.1445606513,10435.6446155155,4342.01577137757
Fmult(2018) = 1.400,0.32,3489.62738186742,10903.9422915563,1.4,9473.61947831487,10435.6446155155,3992.23963667778
Fmult(2018) = 1.500,0.32,3489.62738186742,10903.9422915563,1.5,9801.39653548,10435.6446155155,3673.74738339764
Fmult(2018) = 1.600,0.32,3489.62738186742,10903.9422915563,1.6,10103.0676468531,10435.6446155155,3383.52920650597
Fmult(2018) = 1.700,0.32,3489.62738186742,10903.9422915563,1.7,10380.9721711528,10435.6446155155,3118.8811628517
Fmult(2018) = 1.800,0.32,3489.62738186742,10903.9422915563,1.8,10637.2228427218,10435.6446155155,2877.37286926215
Fmult(2018) = 1.900,0.32,3489.62738186742,10903.9422915563,1.9,10873.7289441957,10435.6446155155,2656.81870312932
Fmult(2018) = 2.000,0.32,3489.62738186742,10903.9422915563,2,11092.2170209503,10435.6446155155,2455.25211873403
