Turbot in IV - Landings at age (thousands) 												
1	2								
1975	2016								
1	10								
1									
1.15	427.35	1012.35	239.35	108.35	124.55	90.35	47.25	42.05	146.55
0	350.35	1346.35	392.35	114.35	76.25	57.75	50.55	38.55	174.15
18.55	895.35	644.35	531.35	166.35	44.15	30.85	42.35	36.95	142.35
0	1324.35	1273.35	309.35	268.35	76.35	37.95	29.35	20.75	65.05
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	299.35	755.35	532.35	458.35	175.35	67.35	35.35	40.35	32.35
0	169.35	1046.35	267.35	167.35	292.35	98.35	49.35	41.35	65.35
0	402.35	673.35	479.35	110.35	113.35	180.35	91.35	31.35	81.35
0	1296.35	1223.35	311.35	157.35	60.35	57.35	74.35	51.35	70.35
0	795.35	2415.35	654.35	179.35	109.35	26.35	38.35	48.35	74.35
0	371.35	1470.35	697.35	183.35	67.35	29.35	16.35	18.35	90.35
13.35	648.35	546.35	676.35	158.35	52.35	19.35	5.35	5.35	60.35
36.35	1084.35	897.35	178.35	176.35	90.35	28.35	42.35	10.35	25.35
0	594.35	1037.35	315.35	139.35	73.35	28.35	22.35	10.35	29.35
43.35	957.35	1032.35	305.35	160.35	73.35	98.35	58.35	13.35	39.35
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	540.35	1158.35	476.35	97.35	39.65	11.65	10.45	1.26	8.35
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4.85	255.35	938.35	270.35	315.35	145.05	116.45	51.65	59.14	72.7
0	478.35	1642.35	357.35	64.35	75.85	55.45	65.05	21.93	61.49
468.35	1283.35	1237.35	265.35	123.35	32.45	16.75	17.65	3.62	9.87
267.35	2429.35	586.35	378.35	90.35	42.25	26.65	9.35	8.02	9.43
491.15	2234.35	894.35	156.35	93.35	11.25	8.85	4.45	1.37	1.73
291.45	1678.35	611.35	195.35	21.35	18.85	2.55	12.15	1.38	3.42
706.05	1312.35	644.35	95.35	28.35	6.65	13.25	3.45	1.05	10.66
80.25	2829.35	627.35	290.35	41.35	29.95	8.75	9.85	0.35	6.34
184.85	1404.35	854.35	229.35	203.35	49.35	13.75	1.55	7.16	2.62
117.25	1076.35	1005.35	434.35	92.35	26.25	11.75	8.15	2	9.71
237.15	1193.35	328.35	263.35	146.35	75.25	26.35	6.35	4.83	6.14
219.45	2017.35	626.35	115.35	143.35	80.35	33.85	16.65	3.72	4.84
0	1949.35	793.35	272.35	43.35	65.25	74.55	13.65	6.88	4.71
161.68	1480.55	1013.13	304.82	85.22	24.34	39.35	16.95	2.76	4.54
70.04	398.3	661.35	695.2	139.84	123.96	38.66	55.40	18.49	32.97
40.97   1266.01 484.18  339.98  329.53  114.32  44.98   28.31   22.25   32.50        
0    	1146.81 1096.25	367.82  395.13  206.64  49.78   30.97    4.63   42.27         
