"","catF","lanF","catch","landings","catB","lanB"
"F05",0.779573170731707,NA,2596.85708310544,NA,4142.73920178108,NA
"F10",0.860054644808743,NA,2539.79833673943,NA,3859.69156697866,NA
"F50",NA,NA,NA,NA,NA,NA
"medianMSY",NA,0.394394394394394,NA,2853.52646189119,NA,7161.51768083709
"meanMSY",0.39,0.39,2853.79552315912,2853.79552315912,7242.34885544549,7242.34885544549
"Medlower",NA,0.265265265265265,NA,2711.86085440897,NA,10970.6896554558
"Meanlower",NA,0.258738738738739,NA,2758.27822485072,NA,NA
"Medupper",NA,0.627627627627628,NA,2711.26144262307,NA,4842.50021468039
"Meanupper",NA,0.693783783783784,NA,2758.06146694727,NA,NA
