"","Value"
"stockName","Turbot 4"
"runName","IBP_Turbot_2018"
"SAOAssessment",""
"sigmaF","0.111784923873642"
"sigmaSSB","0.119866512615523"
"noSims","1001"
"SRused","Segreg_Ricker_Bevholt"
"SRyears_min","1981"
"SRyears_max","2017"
"acfRecLag1","0.09"
"rhoRec","FALSE"
"numAvgYrsB","5"
"numAvgYrsS","5"
"cvF","0.212"
"phiF","0.423"
"cvSSB","0"
"phiSSB","0"
