"","catF","lanF","catch","landings","catB","lanB"
"F05",0.561605263157895,NA,2651.86783641806,NA,3622.08051995197,NA
"F10",0.572237511217469,NA,2635.21162748243,NA,3492.76719458121,NA
"F50",0.606330669211499,NA,2444.73152614704,NA,2963.56699157287,NA
"medianMSY",NA,0.332332332332332,NA,2804.29808663755,NA,8393.80751278454
"meanMSY",0.34,0.34,2803.95148960439,2803.95148960439,8133.5152171997,8133.5152171997
"Medlower",NA,0.212212212212212,NA,2664.42701695676,NA,14335.9203218836
"Meanlower",NA,0.214144144144144,NA,2689.6825263172,NA,NA
"Medupper",NA,0.575575575575576,NA,2672.93932960104,NA,3495.75886097999
"Meanupper",NA,0.571891891891892,NA,2691.77448242432,NA,NA
